[2025-12-24T22:10:33.184Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:10:33.183Z)
[2025-12-24T22:10:33.192Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-24T22:11:52.828Z] [Cleanup Job] Manual trigger at 2025-12-24T22:11:52.827Z
[2025-12-24T22:11:52.828Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:11:52.828Z)
[2025-12-24T22:11:52.830Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-26T01:18:53.966Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T01:35:21.314Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T01:44:19.010Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T01:55:27.704Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T02:03:28.316Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T02:04:51.594Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T02:10:26.571Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T03:06:53.040Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T03:09:25.028Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T03:12:14.782Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:16:48.130Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:25:58.436Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:26:57.764Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:33:10.034Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:35:27.561Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:43:42.764Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:48:06.516Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:53:40.774Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:57:16.344Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:57:22.648Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:57:28.548Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T05:57:40.553Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T06:02:39.793Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T06:06:41.013Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T06:10:36.804Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-26T06:41:59.358Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T19:23:09.643Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T19:32:06.664Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T20:33:30.141Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T21:01:18.872Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T21:43:09.030Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-28T23:03:07.917Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T10:44:31.405Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T22:27:47.793Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T23:12:25.136Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T23:12:30.547Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T23:12:36.650Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-29T23:53:20.465Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T00:42:43.170Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T04:31:04.537Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T04:33:09.732Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T04:35:36.923Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T04:38:09.463Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T04:39:15.201Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:20:46.437Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:35:21.256Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:36:06.631Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:14.623Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:35.302Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:45.400Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:38:45.508Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
